"N","CPMS","Denominacion_Procedimientos","II_NIVEL","III _NIVEL"
2191,"73219.01",Resonancia Magnética de Antebrazo; con materiales de contraste,"314.63","318.68"
2192,"73219.02",Resonancia Magnética de Brazo; con materiales de contraste,"314.63","318.68"
2193,"73219.03","Resonancia magnética de Plexo Braquial, con materiales de contraste","314.63","318.68"
2194,"73219.04",Resonancia Magnética de Mano; con materiales de contraste,"314.63","318.68"
2195,"73220","Imágenes por resonancia magnética (p. ej. de protones), extremidad superior, excepto articulaciones sin materiales de contraste seguido por materiales de contraste y secuencias subsiguientes",N/C,"395.18"
2196,"73221.01",Resonancia Magnética de Codo; sin constraste,"271.86","274.27"
2197,"73221.02",Resonancia Magnética de Muñeca; sin constraste,"271.86","274.27"
2198,"73221.03",Resonancia Magnética de Hombro; sin constraste,"271.86","274.27"
2199,"73222.01",Resonancia Magnética de Codo; con material de contraste,"314.63","318.68"
2200,"73222.02",Resonancia Magnética de Muñeca; con material de contraste,"314.63","318.68"
2201,"73222.03",Resonancia Magnética de Hombro; con material de contraste,"314.63","318.68"
2202,"73225","Angiografía por resonancia magnética, extremindad superior, con o sin material(es) de contraste","508.63","513.42"
2203,"73510","Examen radiológico, cadera, unilateral; completo, mínimo de dos vistas","24.08","24.11"
2204,"73511","Ultrasonido oftálmico, ecografía, diagnóstico","22.84","22.96"
2205,"73520","Examen radiológico, cadera, bilateral, mínimo de dos vistas de cada cadera, incluyendo la vista anteroposterior de la pelvis","32.71","32.74"
2206,"73525","Examen radiológico, artrografía de cadera, Supervisión radiológica e interpretación","45.86","45.89"
2207,"73542",Artrografía de articulación sacroilíaca,"45.86","45.89"
2208,"73550","Examen radiológico de fémur, 2 incidencias","22.3","22.34"
2209,"73560","Examen radiológico de rodilla, 1 o 2 incidencias","22.3","22.34"
2210,"73562","Examen radiológico de rodilla, 3 incidencias","23.67","23.72"
2211,"73580","Examen radiológico, rodilla, artrografía, Supervisión e interpretación radiológicas","45.86","45.89"
2212,"73590","Examen radiológico, tibia y peroné, 2 vistas","22.3","22.34"
2213,"73600","Examen radiológico, tobillo; 2 incidencias","21.13","21.18"
2214,"73615","Examen radiológico, tobillo, artrografía, Supervisión e interpretación radiológicas","45.86","45.89"
2215,"73620","Examen radiológico, pie; 2 incidencias","21.13","21.18"
2216,"73630","Examen radiológico, pie; completo, mínimo de tres vistas","22.46","22.52"
2217,"73700","Tomografía axial computarizada, extremidad inferior; sin material de contraste","160","160"
2218,"73700.01",Tomografía computarizada de pierna; sin material de contraste,"164.24","166.03"
2219,"73700.02",Tomografía computarizada de pie; sin material de contraste,"164.24","166.03"
2220,"73700.03",Tomografía computarizada de rodilla; sin material de contraste,"164.24","166.03"
2221,"73700.04",Tomografía computarizada de tobillo; sin material de contraste,"164.98","166.91"
2222,"73700.05",Tomografía computarizada de muslo; sin material de contraste,"164.24","166.03"
2223,"73701.01",Tomografía computarizada de pierna; con contraste,"305.93","308.05"
2224,"73701.02",Tomografía computarizada de pie; con contraste,"311.44","313.59"
2225,"73701.03",Tomografía computarizada de rodilla; con contraste,"305.9","308.02"
2226,"73701.04",Tomografía computarizada de tobillo; con contraste,"305.93","308.05"
2227,"73701.05",Tomografía computarizada de muslo; con contraste,"305.93","308.05"
2228,"73706","Angiografia por tomografia computarizada de extremidad inferior, con material de contraste, incluyendo imágenes no contrastadas, si se realizan, y post procesamiento de imágenes","443.83","446.62"
2229,"73718.01",Resonancia Magnética de Muslo; sin material de contraste,"271.86","274.27"
2230,"73718.02",Resonancia Magnética de Pierna; sin material de contraste,"271.86","274.27"
2231,"73718.03",Resonancia Magnética de Pie; sin material de contraste,"271.86","274.27"
2232,"73719.01",Resonancia Magnética de Muslo; con material de contraste,"314.63","318.68"
2233,"73719.02",Resonancia Magnética de Pierna; con material de contraste,"314.63","318.68"
2234,"73719.03",Resonancia Magnética de Pie; con material de contraste,"314.63","318.68"
2235,"73721.01",Resonancia Magnética de Cadera; sin material de contraste,"271.86","274.27"
2236,"73721.02",Resonancia Magnética de Rodilla; sin material de contraste,"271.86","274.27"
2237,"73721.03",Resonancia Magnética de Tobillo; sin material de contraste,"271.86","274.27"
2238,"73722.01",Resonancia Magnética de Cadera; con material de contraste,"314.63","318.68"
2239,"73722.02",Resonancia Magnética de Rodilla; con material de contraste,"314.63","318.68"
2240,"73722.03",Resonancia Magnética de Tobillo; con material de contraste,"314.63","318.68"
2241,"73725","Angiografía por resonancia magnética, extremidad inferior con o sin contraste","508.63","513.42"
2242,"74000","Examen radiológico de abdomen, incidencia ánteroposterior","18.1","18.12"
2243,"74020","Examen radiológico de abdomen, completo, incluyendo incidencias de pie y/o de decúbito","24.08","24.11"
2244,"74150",Tomografía computarizada de abdomen sin contraste,"158.8","162.94"
2245,"74150.01",Tomografía computarizada de abdomen superior sin contraste,"154.88","156.65"
2246,"74150.02",Tomografía computarizada de abdomen inferior sin contraste,"154.88","156.65"
2247,"74160",Tomografía computarizada de abdomen; con materiales de contraste,"174.25","174.25"
2248,"74160.01",Tomografía computarizada de abdomen superior con contraste,"266.77","268.74"
2249,"74170","Tomografía computarizada de abdomen; sin material de contraste, seguido de material(es) de contraste y secciones adicionales","272.46","275.03"
2250,"74170.01",Tomografía dinámica de higado - páncreas,"174.25","174.25"
2251,"74176.01","Urotomografía, sin contraste","205.85","207.82"
2252,"74177.01","Urotomografía, con contraste","419.56","422.2"
2253,"74181","Resonancia magnética (p ej protones), abdomen, sin contraste","271.86","274.27"
2254,"74181.01",Resonancia Magnética de Abdomen Superior; sin contraste,"271.86","274.27"
2255,"74181.02",Resonancia magnética Fetal,N/C,"11.44"
2256,"74182","Resonancia magnética (p ej protones), abdomen, con material(es) de contraste","314.63","318.68"
2257,"74182.01",Resonancia magnética de abdomen superior con contraste,"314.63","318.68"
2258,"74185","Angiografía por resonancia magnética, abdomen, con o sin material(es) de contraste","480.75","484.11"
2259,"74190","Peritoneograma (p ej después de inyectar aire o material de contraste), Supervisión einterpretación radiológicas","46.28","46.34"
2260,"74220",Examen radiológico de esofago,"45.86","45.89"
2261,"74230",Evaluación de función de deglución con guia cineradiografía/ videoradiografía,N/C,"21.2"
2262,"74246","Examen radiológico, tracto gastrointestinal superior, contraste de aire, con bario específico de alta densidad, agente efervescente, con o sin glucagon; con o sin placas retrasadas, sin visualización de riñones, uréteres ni vejiga","45.86","45.89"
2263,"74247.01",Examen radiológico - colostograma,N/C,"24.58"
2264,"74247.02",Examen radiológico - cloacograma,N/C,"24.59"
2265,"74247.03",Examen radiológico - genitograma,N/C,"24.59"
2266,"74249","Examen radiológico, tracto gastrointestinal superiorm contraste de aire, con bario específico de alta densidad, agente efervescente, con o sin glucagon; con seguimiento de tránsito en intestino delgado","45.86","45.89"
2267,"74250","Examen radiológico, intestino delgado, incluye múltiples placas seriadas","49.69","49.74"
2268,"74280","Examen radiológico, colon; contraste de aire con bario específico de alta densidad, con o sin glucagon","71.94","71.97"
2269,"74290","Colecistografía, contraste oral","34.01","34.1"
2270,"74300","Colangiografía y/o pancreatografía; intraquirúrgica, Supervisión e interpretación radiológica","37.6","37.66"
2271,"74301","Colangiografía y/o pancreatografía; set intraoperatirio adicional, Supervisión e interpretación radiológica (registrar separadamente adem{as del código para el procedimiento principal)","37.6","37.66"
2272,"74305","Colangiografía y pancreatografía; a través de catéter existente, Supervisión e interpretación radiológica","37.6","37.66"
2273,"74320","Colangiografia, percutánea, transhepática, Supervisión e interpretación radiológica","37.6","37.66"
2274,"74320.01",Colangioresonancia,"271.86","274.27"
2275,"74400","Urografía (pielografía), intravenosa, con sin visualización de riñones, uréteres y vejiga, con o sin tomografía","37.6","37.66"
2276,"74410","Urografía, infusión por goteo y/o en bolo","37.6","37.66"
2277,"74420","Urografía retrograda, con o sin visualización de riñones, uréteres, vejiga","37.6","37.66"
2278,"74425","Urografía anterograda (pielostograma, nefrostograma, estudio de asas), Supervisión e interpretación radiológicas","37.6","37.66"
2279,"74430","Cistografía, mínimo tres incidencias, Supervisión e interpretación radiológica","37.6","37.66"
2280,"74450","Uretrocistografía retrograda, Supervisión e interpretación radiológica","37.6","37.66"
2281,"74485","Dilatación de nefrostomía, uréteres o uretra, Supervisión e interpretación radiológica","37.6","37.66"
2282,"74485.01",Uroresonancia sin contraste,"271.86","274.27"
2283,"74485.02",Uroresonancia con contraste,"314.63","318.68"
2284,"74710","Pelvimetría, con o sin ubicacion placentaria","37.6","37.66"
2285,"74740","Histerosalpingografía, Supervisión e interpretación radiológica","58.88","58.94"
2286,"75194",TEM abdomen inferior con contraste,"266.77","268.74"
2287,"75552","Resonancia magnética cardíaca para Evaluación morfologica, sin material de contraste","388.71","393.26"
2288,"75553","Resonancia magnética cardíaca para Evaluación morfologica, con material de contraste","389.4","393.07"
2289,"75556",Resonancia magnética cardíaca para mapeo de la velocidad de flujo,"271.86","274.27"
2290,"75561","Resonancia magnética cardíaca de la morfología y funcion, sin material de contraste, seguido por material de contraste y las secuencias adicionales","389.4","393.07"
2291,"75574","Angiografía por tomografía computarizada de corazon e injertos de arterias coronarias (cuando están presentes), con material de contraste, incluyendo postprocesamiento de imágenes 3D (incluyendo Evaluación de estructura y morfología cardiaca, y Evaluación de estructuras venosas, si se realiza)","420.46","423.25"
2292,"75600","Aortografía torácica, sin estudio seriado, Supervisión e interpretación radiológica","58.88","58.94"
2293,"75605","Aortografía torácica con estudio seriado, Supervisión e interpretación radiológica","401.51","404.24"
2294,"75625","Aortografía abdominal por estudio seriado, Supervisión e interpretación radiológica","67.56","67.62"
2295,"75635","Angiografía por tomografía de la aorta abdominal y sistema iliofemoral bilateral de miembros inferiores, con material(es) de contraste, incluyendo imágenes no contrastadas, si se realizara, y post procesamiento de imágenes","460.73","463.66"
2296,"75650","Angiografía cervicocerebral mediante catéter, incluyendo origen del vaso",N/C,"1786.13"
2297,"75651",Angiografía cérvico cerebral,"67.38","91.3"
2298,"75658","Angiografía braquial retrograda, Supervisión e interpretación radiológica","67.38","91.3"
2299,"75705","Angiografía espinal selectiva, Supervisión e interpretación radiológica",N/C,"91.3"
2300,"75710","Angiografía de extremidad, unilateral, Supervisión e interpretación radiológica","67.38","91.3"
2301,"75726","Angiografía visceral selectiva o supraselectiva (con o sin aortograma de vaciado), Supervisión e interpretación radiológica","67.38","91.3"
2302,"75801","Linfografía unilateral de extremidad, Supervisión e interpretación radiológica","65.73","80.27"
2303,"75810","Esplenoportografía, Supervisión e interpretación radiológica","67.38","91.3"
2304,"75820","Flebografía unilateral de extremidad, Supervisión e interpretación radiológica","62.05","75.04"
2305,"75825","Veongrafía, cava, superior, con estudio seriado, Supervisión e interpretación radiológica","67.38","91.3"
2306,"75827","Veongrafía, cava, inferior, con estudio seriado, Supervisión e interpretación radiológica","67.38","91.3"
2307,"75831","Venografía, renal, unilateral, selectiva, Supervisión e interpretación radiológica","67.38","91.3"
2308,"75885","Esplenoportografía transhepática percutánea con Evaluación hemodinámica, Supervisión e interpretación radiológica","67.38","91.3"
2309,"75894","Embolización terapéutica transcatéter, por cualquier método, Supervisión e interpretación radiológica, pej: Abdominal, bronquial, de extremidades, etc",N/C,"91.3"
2310,"75894.02","Embolización terapéutica transcatéter Bronquial - Torácica, por cualquier método, supervisión e interpretación radiológica - Terapeutica",N/C,"5118.52"
2311,"75945","Ultrasonido intravascular (vaso no coronario), Supervisión e interpretación radiológicas; vaso inicial","63.51","87.44"
2312,"76040","Estudios de longitud de huesos (ortoroentgenograma, estudio de barrido "" scanogram"")","38.88","38.94"
2313,"76080","Examen radiológico, absceso, fístula o tracto de seno, Supervisión e interpretación radiológicas","33.09","33.15"
2314,"76140.06","Lectura e interpretación de imágenes Gammagráficas, realizada en otro lugar, incluyendo el informe del médico especialista.",N/C,"5.06"
2315,"76140.07","Lectura e interpretación de imágenes  SPECT CT, realizada en otro lugar, incluyendo el informe del médico especialista.",N/C,"5.66"
2316,"76140.08","Lectura e interpretación de imágenes  PET CT, realizada en otro lugar, incluyendo el informe del médico especialista.",N/C,"10.62"
2317,"76375",Reconstrucción por tomografía o resonancia magnética,"125.97","127.76"
2318,"76390",Espectroscopía por resonancia magnética,N/C,"270.69"
2319,"76391",Difusión por Resonancia Mágnética,N/C,"30"
2320,"76392",Perfusión por Resonancia Magnética,N/C,"395.18"
2321,"76393",Tractografía por Resonancia Magnética,N/C,"30"
2322,"76498.01",Resonancia magnética de columna total panorámica; sin contraste,N/C,"13.25"
2323,"76498.02",Venografía por resonancia magnética (procedimiento de resonancia magnética no incluido en la lista),"508.63","513.42"
2324,"76498.03",Resonancia magnética de columna total panorámica; con contraste,N/C,"13.25"
2325,"76499.02",Planificacion Bidimensional (2D con Electrones),N/C,"79.87"
2326,"76499.04",Planificacion Srs (Radiocirugía),N/C,"79.87"
2327,"76506","Ecoencefalografía, tiempo real con documentacion de imágenes (escala de grises) (para determinacion de tamaño ventricular, delineamiento de contenido cerebral y detección de masas fluidas u otras anormalidades intracraneales), incluyendo encefalografía en modo A, como componente secundario cuando esté indicado","16.94","17.04"
2328,"76510","Ecografía oftálmica, diagnóstica; modo B o modo A cuantitativo cuantitativa realizada durante la misma cita (incluye imágenes de múltiples tramas) con interpretación y reporte",,"13.3083522532853"
2329,"76512","Ecografía oftálmica, diagnóstica; modo-B (con o sin ecografía modo A no cuantitativa agregada) (incluye imágenes de múltiples tramas) con interpretación y reporte","22.84","22.96"
2330,"76513","Ecografía oftálmica, diagnóstica; segmento anterior con ecografía bidimensional modo B de inmersión (baño de agua) o biomicroscopia de alta resolución (incluye imágenes de múltiples tramas) con interpretación y reporte","12.78","12.78"
2331,"76514","Ecografia oftálmica, diagnóstica; paquimetría unilateral o bilateral de córnea (determinacion del grosor córneal) (incluye imágenes de múltiples tramas) con interpretación y reporte","41.32","41.32"
2332,"76516",Biometría oftálmica por ecografía modo A (baño de agua),"22.84","22.96"
2333,"76536","Ecografia de partes blandas de cabeza y cuello (pej: tiroides, paratiroides, parotida), tiempo real con documentacion de la imagen","16.94","17.04"
2334,"76536.01",Ecografía de región cervical,"12.78","12.78"
2335,"76536.03",Ecografía de tiroides,"12.78","12.78"
2336,"76604","Ecografía de torax (incluyendo mediastino), tiempo real con documentacion de imagen","15.44","15.52"
2337,"76604.02",Ecografía de Hombro,"12.78","12.78"
2338,"76645","Ecografía de mama(s) (unilateral o bilateral), tiempo real con documentacion de imagen","16.94","17.04"
2339,"76646",Ecografía cavidad pericárdica,"18.44","18.56"
2340,"76700","Ecografía abdominal completa, tiempo real con documentacion de imagen","16.94","17.04"
2341,"76705","Ecografía abdominal, tiempo real con documentacion de imagen; limitada (pej: un solo organo, cuadrante, seguimiento)","15.44","15.52"
2342,"76706",Ecografía abdominal regional (por cuadrantes),"12.78","12.78"
2343,"76770","Ecografía retroperitoneal (renal, aorta, ganglios), en tiempo real con imágenes documentadas, completa","13.83","13.83"
2344,"76770.01",Ecografía Renal,"18.44","18.56"
2345,"76775","Ecografía retroperitoneal (renal, aorta, ganglios), en tiempo real con imágenes documentadas, limitada","16.94","17.04"
2346,"76800",Ecografía de canal espinal y contenido,"18.44","18.56"
2356,"76817","Ecografia, útero grávido, tiempo real con documentacion de imágenes, vía transvaginal","18.44","18.56"
2347,"76801","Ecografía, útero grávido, tiempo real con documentación de la imagen, evaluación fetal y materna, 1er trimestre (<14 semanas 0 días), abordaje transabdominal; gestación única o primera","12.78","12.78"
2348,"76802","Ecografía, útero grávido, tiempo real con documentación de la imagen, evaluación fetal y materna, 1er trimestre (<14 semanas 0 días), abordaje transabdominal; cada gestación adicional (registrar separadamente además del código para el procedimiento primario)","12.78","12.78"
2349,"76805","Ecografía, útero grávido, tiempo real con documentacion de la imagen, Evaluación fetal y materna, después del 1er trimestre (> o = a 14 semanas 0 días), abordaje transabdominal; gestacion única o primera","16.94","17.04"
2350,"76810","Ecografía, útero grávido, tiempo real con documentación de la imagen, evaluación fetal y materna, después del 1er trimestre (> ó = a 14 semanas 0 días), abordaje transabdominal; cada gestación adicional (registrar separadamente además del código para el procedimiento primario)","12.78","12.78"
2351,"76811","Ecografía, útero grávido, tiempo real con documentacion de la imagen, Evaluación fetal y materna más examen anatomico fetal detallado, abordaje transabdominal; gestacion única o primera","16.94","17.04"
2352,"76813","Ultrasonido, útero grávido, en tiempo real con imagen, medición de la translucencia de nuca en primer trimestre fetal, abordaje transabdominal o transvaginal; gestación única o primera gestación","12.78","12.78"
2353,"76814","Ultrasonido, útero grávido, en tiempo real con imagen, medición de la translucencia de nuca en primer trimestre fetal, abordaje transabdominal o transvaginal; cada gestación adicional (Listar por separado, además del código de procedimiento primario)","12.78","12.78"
2354,"76815","Ecografia, útero grávido, tiempo real con documentación de imágenes, limitado (Ejemplo: frecuencia cardiaca fetal, ubicación de placenta, posición fetal y/o volumen de líquido amniítico cualitativo), 1 o más fetos","12.78","12.78"
2355,"76816","Ecografia, útero grávido, tiempo real con documentacion de imágenes, seguimiento (pej: reEvaluación de tamaño fetal por medicion de parámetros de crecimiento estándares y volumen de líquido amniotico, reEvaluación de sistema(s) orgánico(s) que están bajo sospecha o con confirmacion de anormalidad en examen previo), abordaje transabdominal, por feto","16.94","17.04"
2357,"76818","Perfil biofísico fetal, con test no estresante","18.44","18.56"
2358,"76819","Perfil biofísico fetal, sin test no estresante","16.94","17.04"
2359,"76820.01",Ecografía doppler fetal,"41.49","41.78"
2360,"76821","Velocimetría Doppler, fetal, arteria cerebral media","12.78","12.78"
2361,"76825","Ecocardiografía, fetal, sistema cardiovascular, tiempo real con documentacion de imágenes (2D), con o sin registro en modo M","19.93","20.08"
2362,"76827","Ecocardiografía Doppler, fetal, con ondas de pulso y/o ondas continuas con registro de espectro; completo","12.78","12.78"
2363,"76830",Ecografía transvaginal,"16.53","16.56"
2364,"76831","Histerosonografía con infusión de solución salina, incluyendo con Doppler color de flujo, cuando se realiza","43.17","43.35"
2365,"76856","Ecografía pélvica (no obstétrica), tiempo real con documentacion de imágenes; completa","15.44","15.52"
2366,"76870","Ecografía, escroto y contenido","15.44","15.52"
2367,"76872",Ecografía transrectal,"15.44","15.52"
2368,"76880",Ecografía no vascular de extremidades por rastreo B y/o en tiempo real,"15.44","15.52"
2369,"76880.01",Ecografía de codo,"12.78","12.78"
2370,"76880.02",Ecografía de muñeca,"12.78","12.78"
2371,"76880.03",Ecografía de rodilla,"12.78","12.78"
2372,"76880.04",Ecografía de tobillo,"12.78","12.78"
2373,"76880.05",Ecografía muscular de región especifica,"12.78","12.78"
2374,"76885","Ecografía, caderas de lactante, imágenes en tiempo real con documentacion de imágenes; dinámica (que requiere manipulacion médica o de otro profesional calificado)","16.94","17.04"
2375,"76942","Guía ultrasonográfica para Colocación de aguja (pej: biopsia, aspiración, Inyección, dispositivo de localización), Supervisión e interpretación de imágenes","18.88","19.07"
2376,"76981","Elastografía, parénquima (p.ej., órgano)",N/C,"27.15"
2377,"77055","Mamografia, unilateral","28.13","28.15"
2378,"77056","Mamografia, bilateral","42.13","42.18"
2379,"77057","Mamografia de tamizaje, bilateral (2 imágenes de cada seno)","38.36","38.41"
2380,"77059","Resonancia magnética de seno, con o sin material de contraste, bilateral","314.63","318.68"
2381,"77072",Estudios de edad ósea,"18.18","18.21"
2382,"77074","Examen radiológico, survey óseo limitado (p ej para metástasis)","33.09","33.15"
2383,"77076","Examen radiológico, suvey óseo completo de lactante ",N/C,"7.55"
2384,"77080","Absorciometría dual de rayos-X (DXA), estudio de densidad ósea, uno o más sitios; esqueleto axial (p ej cadera, pelvis, talon)","43.26","43.34"
2385,"77080.01","Estudio de densidad ósea por absorciometría de Rayos X de doble energía (dexa), de esqueleto axial (p. ej. cadera, pelvis)",N/C,"21.44"
2386,"77080.02","Estudio de densidad ósea por absorciometría de Rayos X de doble energía (dexa), de esqueleto apendicular (p. ej. radio, muñeca)",N/C,"21.44"
2387,"77082","Absorciometría dual de rayos-X (DXA), estudio de densidad ósea, uno o más sitios; evaluación de las fracturas vertebrales",N/C,"21.44"
2388,"77263.01",Planificacion físico médica de radioterapia estereotáxica fracciónada cerebral y corporal (SRT-SBRT),N/C,"79.87"
2389,"77285",Establecimiento de campos asistido por simulacion de radiología terapéutica; intermedia,N/C,"69.66"
2390,"77285.01","Establecimiento de campos asistido por PET-CT; intermedia (pej, 3D-CRT, IMRT o VMAT",N/C,"1069.58"
2391,"77290",Establecimiento de campos asistido por simulacion de radiología terapéutica; compleja,N/C,"69.66"
2392,"77290.01","Establecimiento de campos asistido por PET-CT; compleja (pej, SRS, SRT o SBRT)",N/C,"1069.75"
2393,"77295","Planeamiento tridimensional de radioterapia, incluyendo histogramas de dosis-volumen",N/C,"79.87"
2394,"77301","Plan de radioterapia de intensidad modulada, incluyendo histogramás dosis-volumen histogramás para el objetivo y especificaciones de tolerancia parcial de la estructura critica",N/C,"79.87"
2395,"77305","Teleterapia, plan de isodosis (calculado a mano o con computador); sencilla (una apertura o dosaperturas paralelas opuestas sin modificacion dirigidas a una sola zona de interés)",N/C,"109.83"
2396,"77310","Teleterapia, plan de isodosis (calculado a mano o con computador); intermedia (tres o más aperturas de tratamiento dirigidas a una sola zona de interés)","6","6"
2397,"77315.01","Radioterapia externa 3D, en acelerador lineal plan de isodosis calculado con computador",N/C,"109.83"
2398,"77321.01","Radioterapia externa especial (irRadiación de cuerpo total, acondicionamiento para trasplante de medula ósea)",N/C,"109.83"
2400,"77372.01",Terapia de radiación estereotáctica fraccionada cerebral (SRT) curso completo que no exceda 5 fracciones,N/C,"23.06"
2401,"77373","Terapia de Radiación estereotáctica corporal, por fracción a 1 o más lesiones, incluyendo guía por imágenes, curso completo que no excede 5 fracciónes",N/C,"109.83"
2402,"77401","Suministro de tratamiento por radiacion, voltaje superficial y/u otro voltaje",N/C,"511.47"
2403,"77418.01",Radioterapia externa de intensidad modulada (IMRT-VMAT) en acelerador lineal,N/C,"109.83"
2399,"77372","Terapia de radiacion, radiocirugía estereotáxica (SRS), un ciclo completo de tratamiento de la lesión(es) craneal(es) que consta de 1 sesión; basada en acelerador lineal",N/C,"109.83"
2404,"77424","Tratamiento con terapia de Radiación intraoperatoria, rayos X, sesión única de tratamiento",N/C,"511.47"
2405,"77500",Acelerador lineal (1 sesión),N/C,"3.25"
2406,"77501",Braquiterapia de contacto,N/C,"60.6"
2407,"77501.01",Braquiterapia De Alta Tasa De Dosis Endocavitaria,N/C,"197.81"
2408,"77501.02",Braquiterapia De Alta Tasa De Dosis Intersticial,N/C,"216.89"
2409,"77501.03",Braquiterapia De Alta Tasa De Dosis Endoluminal,N/C,"197.85"
2410,"77750",Infusión o instilacion de solución del radioelemento (incluye atención de seguimiento de 3 meses),"15.24","15.24"
2411,"77761",Aplicación intracavitaria del radioelemento; sencilla,"36.95","36.95"
2412,"77781.01",Braquiterapia de alta tasa de dosis endocavitaria 3D,N/C,"306.87"
2413,"77781.02",Braquiterapia de alta tasa de dosis endoluminal 3D,N/C,"306.87"
2414,"77781.03",Braquiterapia de alta tasa de dosis intersticial 3D,N/C,"394.71"
2415,"77782",Braquiterapia posterior remota de alta intensidad; 5-8 posiciones o catéteres fuente,"36.95","36.95"
2416,"77784.01",Braquiterapia intersticial con ultrasonido,N/C,"394.71"
2417,"78000",Captacion por tiroides,N/C,"211.96"
2418,"78006",Imágenes del tiroides,N/C,"211.96"
2419,"78008",Prueba de supresión con T3 gammagráfica,N/C,"211.96"
2420,"78009",Prueba de estímulo con TSH captacion,N/C,"211.96"
2421,"78010",Prueba de descarga con perclorato,N/C,"211.96"
2422,"78011",Prueba de inhibicion con T3 captacion,N/C,"211.96"
2423,"78019",Obtención de imágenes de metástasis de carcinoma de tiroides en todo el cuerpo - rastreo de tejido tiroideo a cuerpo entero con Talio 201,N/C,"211.96"
2424,"78024",Prueba de estímulo con TSH - Gammagráfica,N/C,"211.96"
2425,"78025",Rastreo de tejido tiroideo,N/C,"252.29"
2426,"78026",Terapia de hiperfuncion con I-131,N/C,"191.78"
2427,"78027",Terapia de atipias diferenciadas con I-131,N/C,"211.96"
2428,"78028",Radioablación Funcional Tiroidea con I-131,N/C,"211.96"
2429,"78031",Gammagrafía de Tiroides y captacion con TEC99M,N/C,"211.96"
2430,"78070","Gammagrafía de paratiroides (incluye sustraccion, cuando se realice)",N/C,"222.04"
2431,"78072","Obtención de imágenes planares de paratiroides (incluyendo sustraccion, cuando se realice), con tomografía (SPECT), y tomografía computarizada concurrente (TC) para efectos de localización anatómica",N/C,"222.04"
2432,"78075","Obtención de imágenes de adrenales, corteza y/o médula",N/C,"222.04"
2433,"78076",Detección de Feocromocitoma con Metil-lodo- Guanetidina -123,N/C,"222.04"
2434,"78078",Gammagrafía de tiroides planar y tomográfica con TEC99M,N/C,"211.96"
2435,"78079",Gammagrafía de tiroides planar y tomográfica con I-131,N/C,"211.96"
2436,"78122","Determinacion de volúmen total de sangre, incluyendo medicion separada del volúmen plasmático y volúmen de globulos rojos (técnica de dilucion de volúmen radiofarmacéutico)",N/C,"191.78"
2437,"78185","Imagen de bazo solamente, con o sin flujo vascular",N/C,"201.87"
2438,"78195",Imágenes de linfáticos y ganglios linfáticos,N/C,"211.96"
2439,"78196",Imágenes de médula ósea,N/C,"191.78"
2440,"78198","Volumen plasmático, por técnica de determinacion de volumen mediante dilucion de radiofármaco (procedimiento separado); muestra única",N/C,"191.78"
2441,"78201",Obtención de imágenes hepáticas estáticas,N/C,"201.87"
2442,"78205",Obtención de imágenes del hígado por SPECT,N/C,"211.96"
2443,"78215",Obtención de imágenes hepáticas y de bazo estáticas,N/C,"222.04"
2444,"78220",Estudio de funcion hepática con agentes hepatobiliares,N/C,"211.96"
2445,"78223",Imágenes del sistema de conductos hepatobiliares incluyendo la vesícula biliar,N/C,"252.29"
2446,"78230",Imágenes de glándulas salivales,N/C,"222.04"
2447,"78258",Motilidad esofágica,N/C,"252.29"
2448,"78261",Imagenología de mucosa gástrica,N/C,"222.04"
2449,"78262",Estudio de reflujo gastroesofágico,N/C,"242.21"
2450,"78264",Estudio de vaciamiento gástrico,N/C,"252.29"
2451,"78278",Imágenes de sangrado gastrointestinal agudo,N/C,"252.29"
2452,"78279",Detección De Divertículo De Meckel,N/C,"272.45"
2453,"78281","Imágenes de intestino (p ej mucosa gástrica ectopica, ubicacion Meckel, volvulo)",N/C,"272.45"
2454,"78281.01",Enterografía por resonancia,"314.63","318.68"
2455,"78300",Imágenes gammagráficas de huesos y/o articulaciónes; área limitada,N/C,"222.04"
2456,"78305",Imágenes gammagráficas de huesos y/o articulaciónes; múltiples áreas,N/C,"222.04"
2457,"78350","Estudio de densidad ósea (contenido mineral del hueso), 1 o más lugares; absorciometría de foton único",N/C,"222.04"
2458,"78351","Densitometria ósea (contenido mineral óseo), en uno o más lugares, absorciometría con doble fotón",N/C,"21.44"
2459,"78360",Gammagrafía de médula ósea,N/C,"191.78"
2460,"78362",Gammagrafía ósea planar y tomográfica,N/C,"222.04"
2461,"78363",Gammagrafía ósea trifásica,N/C,"242.21"
2462,"78364",Gammagrafía ósea Segmentaria-segmento,N/C,"211.96"
2463,"78367",Gammagrafía osteoarticular-coxofemorales,N/C,"242.21"
2464,"78368",Gammagrafía osteoarticular-sacroiliacas,N/C,"242.21"
2465,"78369",Gammagrafía osteoarticular-hombros,N/C,"242.21"
2466,"78455",Estudio de trombosis venosa,N/C,"222.04"
2467,"78457","Imágenes de trombosis venosa, venograma; unilateral",N/C,"222.04"
2468,"78458","Imágenes de trombosis venosa, venograma; bilateral",N/C,"222.04"
2469,"78484",Perfusion miocárdiaca con Mibi-tec99m reposo y tomografía (SPECT),N/C,"242.21"
2470,"78485",Estudio con Talio - 201 en reposo planar y tomográfico,N/C,"222.04"
2471,"78486",Estudio con Talio - 201 en reposo y esfuerzo planar y tomográfico,N/C,"242.21"
